시도(1),2000.1,2000.2,2000.5,2001.1,2001.2,2001.5,2002.1,2002.2,2002.5,2003.1,2003.2,2003.5,2004.1,2004.2,2004.5,2005.1,2005.2,2005.5,2006.1,2006.2,2006.5,2007.1,2007.2,2007.5,2008.1,2008.2,2008.5,2009.1,2009.2,2009.5,2010.1,2010.2,2010.5,2011.1,2011.2,2011.5,2012.1,2012.2,2012.5,2013.1,2013.2,2013.5,2014.1,2014.2,2014.5,2015.1,2015.2,2015.5,2016.1,2016.2,2016.5,2017.1,2017.2,2017.5,2018.1,2018.2,2018.5,2019.1,2019.2,2019.5
시도(1),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
합 계,29989682,416174818,15165474,29588528,367514083,14539186,30228848,375797098,15277700,30726735,384401075,14729880,29766613,381389685,12865542,29289214,379085092,10236313,10353738,149256672,5363714,10525240,150387606,4475619,10430143,150789505,4314883,30812037,396907128,9165066,30434566,410932964,12599628,31320258,424340883,9324133,31235065,426813642,7015498,31932018,431259526,7098677,27874777,419447177,6903888,27110779,481412517,7235156,26956988,482360247,7817031,26960516,483414496,7477102,26744838,480221830,7643736,26395203,480951064,7597681
서울,19581869,289329000,6206086,19581869,240000000,6733000,19582000,240000000,7575000,19582000,240000000,7435000,19582000,240000000,6392000,19582000,240000000,5114800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,396058,10580266,1117033,396058,12502000,841976,760106,20540000,844331,758342,24493000,755183,758342,24494000,636605,758342,24494000,465000,758342,24494000,472000,758342,24494000,395000,758342,24494000,360000,747922,24494000,304734,747922,24494000,310994,747922,24494000,514721,747922,24494000,519345,747922,24494000,508543,747922,24494000,303636,747922,24494000,309602,747922,24494000,309617,747922,24494000,291432,747922,24494000,290483,747922,24494000,311961
대구,585334,9224941,682611,585334,9224941,411278,585334,9224941,421784,585334,9224941,403029,585334,9224941,331683,585334,9224941,276301,585334,9224941,489621,585334,9224941,307940,585334,9224941,305531,585334,9224941,305523,585334,9224941,51979,853400,32378541,326258,853400,32378541,327629,853400,32378541,256476,853400,32378541,304526,853400,32378541,648903,853400,32378541,436789,853400,32378541,300849,853400,32378541,324168,853400,32378541,355950
인천,4494,12850,803,4494,12850,910,4494,12850,859,6024,18150,775,6024,18200,3400,6000,18200,600,226070,3218200,0,226895,3219068,1,228561,3222381,179,20013461,249009381,4847974,19793391,262536679,3845186,19793391,245809381,4952324,19793391,245809381,3155389,19793391,245809381,3340322,16189575,230700094,3175596,15412864,289347381,3273304,15418818,289347381,3446589,15418818,289347381,3400695,15335735,289347381,3551310,15335735,289347381,3565970
광주,422775,5634993,367582,422775,5634993,34516,416441,5425905,430482,416441,5425905,348604,416441,5425905,288466,240503,2924906,395379,157995,2924905,327900,157995,2924905,251400,240503,2924905,240468,240503,2924906,227828,263966,2924906,233269,263966,2924906,211629,177790,4220000,187897,644159,9480000,122024,337860,9480000,172488,337860,9480000,198265,337860,9480000,233278,337860,9480000,169010,337860,9480000,332132,337860,9480000,581520
대전,570413,8465000,594084,602429,8762000,565730,602429,8762000,637107,602429,8762000,629000,608256,8762000,470000,608256,8762000,254000,608256,8762000,265600,608,8762000,270772,608,8762000,94550,608256,8762063,275531,680256,8762063,249500,608256,8762063,262750,608256,8762000,246312,707515,8762000,281440,707515,8762000,281436,695788,8762000,255399,695877,8762000,671467,695877,8762000,305002,695788,8762000,246329,695788,8762000,254150
울산,194163,5077142,238756,194163,5077142,193012,194163,5077142,209921,194163,5077000,234500,194163,5077000,174400,194163,4904750,136097,194163,4904750,175041,194163,4904750,156816,288263,5271656,140680,288263,5271656,122979,288263,5271656,199226,288263,5271656,137966,360276,7064656,125667,360276,7064656,103639,360276,7064656,69295,360276,7064656,73871,360276,7064656,177772,360276,7064656,197144,158500,2615000,226288,158500,2615000,154272
세종,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5569,21635,5327,5569,21635,4980,27818,296294,5546,27818,296592,5414,27818,296592,5575,27818,296592,15754,27818,296592,10931,27818,296592,5118
경기,570041,6050126,327534,543807,6125149,282398,610878,6704119,287199,819515,6749696,357618,589617,6749696,244850,507062,6803113,227465,516720,6803238,273041,560779,7737446,168777,560779,7740032,167743,574179,7825446,158425,480959,7154446,104375,753098,8463371,174078,720198,8299574,145193,706198,8285336,109598,549698,8285336,132148,549698,8285336,115921,549698,8285336,111545,571473,8285336,129931,571473,8285336,160831,571443,8285336,100799
강원,1178939,12867904,1694739,1045055,13340910,1822913,1106658,13944805,1011042,1193343,14310244,951728,870172,11516073,790606,747403,11071900,671920,880174,14262886,766475,921247,15451866,465605,1092039,15114378,543921,1092039,15201849,552124,1112776,15189155,554714,1202476,16374043,529355,1202476,16374043,364470,1202476,16416722,421495,1188820,16580568,355559,1269640,18648556,380173,1269640,18648568,450574,1269628,18648568,604962,1326178,19551723,465457,1334272,18220523,358587
충북,491166,5280622,512453,381166,4755842,451093,383416,4739612,411461,356739,4232615,385586,350000,4233000,343000,349395,4232415,324976,380491,4451857,247477,392795,3673873,260120,398275,5124553,270198,395084,5086137,176774,409754,5092844,166768,402065,4936344,112443,438719,5393650,132350,438719,5393650,150309,437719,5393650,145793,437719,5393650,135956,451960,5674709,128864,455285,5721099,142915,488435,6081889,191081,478517,6053389,186200
충남,757073,6227905,369997,726342,5225251,322217,914892,6638766,426313,766313,5652948,364691,660751,5426737,549225,641604,5015109,358646,664737,5484782,344708,665555,5483325,312905,564220,5238912,255070,551640,5340145,201195,580825,6652540,323734,567404,7051784,226805,628462,7428629,224639,628462,7429149,247626,682202,7428629,222247,682277,7526133,151584,596480,7331385,101556,628032,7670004,125104,628032,7670004,186877,628032,7798287,123126
전북,780588,5889884,683185,840675,6414052,531214,766668,6153829,527901,861390,8317484,614502,708715,6852600,543000,760621,7805129,371246,853056,8981129,432514,909881,8746129,234264,899711,8737418,203164,965622,8894034,208231,913552,8883534,261316,913552,8883534,263933,913552,8883534,303629,855068,8388934,311116,855068,8412934,231687,855068,8388934,271969,818063,8388934,263219,818063,8592899,254429,818063,8592899,249314,824184,8688939,212112
전남,1413575,15266174,668548,1353201,15098340,648697,1393115,14698366,668864,1454378,15541032,502071,1584084,15200848,596320,1435640,15214471,511189,1482091,15968275,412653,1580011,15583576,506125,1394058,16257045,455209,1422540,16383014,710579,1323056,16587158,364876,1425016,16624471,538382,1315626,16630388,394984,1618335,16630388,327997,1520622,17682650,459852,1463925,18817298,408427,1376203,18854288,444374,1347703,19486918,414824,1347583,19542635,411731,1393247,18924810,401217
경북,885900,11713646,625595,892552,11827399,529080,891493,11916774,680079,1069092,13347651,669553,1046555,12773180,527574,1055732,12902970,501847,1250562,15225550,490249,1233122,15683949,623807,1041012,13140423,683830,994983,13116275,502281,859845,11316172,5409171,1136694,15842007,585840,1017104,14426974,388694,1028558,14283396,336931,1073587,15913908,388021,1069779,15930938,420379,1083071,16104007,399707,1065049,15957782,409459,1049899,15918922,437189,1036089,15848095,353382
경남,1802032,21477038,895704,1687477,20480882,817980,1672811,18854941,911023,1742846,20041376,927201,1488107,22426592,870182,1499107,22502275,548915,1477695,21865226,600680,2023391,21828865,430325,2059678,22850783,516040,2010661,22678369,499025,2073117,24147958,438360,2048271,23858958,415753,2135840,23951093,377092,2025486,23505914,469728,2025486,23631908,444983,2025486,23631908,427047,2049254,23817908,467671,2049254,23817908,478980,2044094,23794096,398357,1511712,23926134,586586
제주,355262,3077327,180764,331131,3032332,353172,343950,3103048,234334,318386,3207033,150839,318052,3208913,104231,318052,3208913,77932,318052,2684933,65755,315122,2668913,91762,318760,2686078,78300,321550,2694912,71863,321550,2694912,86160,316484,2665824,71895,316484,2675544,116881,316484,2915824,106453,317209,2942009,211075,321259,2966594,158943,320648,3431942,168435,314058,3410812,236612,314058,3410812,161258,460684,5832037,46731
